Marjorie Kinnan Rawlings
Marjorie Kinnan Rawlings
Virginia Woolf
Irwin Shaw
Robert W. Chambers
W. Somerset Maugham
Harold Bell Wright
Eric Knight
A. S. M. Hutchinson
A. S. M. Hutchinson
Mary Stewart
Taylor Caldwell
Irving Stone
A. J. Cronin
Judith Krantz
James Hilton
Michael Crichton
Barbara Taylor Bradford
Mary Johnston
Harper Lee
Harper Lee
Harper Lee
Zane Grey
Francis Hopkinson Smith
Anne Parrish
Betty Smith
Leon Uris
Mary Stewart
Patricia Cornwell
Graham Greene
George du Maurier
Leon Uris
Henry Miller
Nicholas Sparks
Nevil Shute
George Barr McCutcheon
Janet Evanovich
Louis Bromfield
Edith Wharton
Nicholas Sparks
Marjorie Holmes
Stephen King
Robert Grant
Patricia Cornwell
Bel Kaufman
Henry Sydnor Harrison
Clive Cussler
Jacqueline Susann
Danielle Steel
Fletcher Knebel
Ellen Glasgow
Frances Parkinson Keyes
James Patterson
Terry McMillan
Zane Grey
Danielle Steel
Herman Wouk
Richard Adams
James Hilton
Arthur Hailey
Mary Roberts Rinehart
Harold Bell Wright
Charles Major
Charles Major
Mary Higgins Clark
James Clavell
Lloyd C. Douglas
Stephen R. Donaldson
John P. Marquand
Zane Grey
Sidney Sheldon
Mary Ellen Chase
Mary Ellen Chase
Danielle Steel
Hugh Walpole
Margaret Ayer Barnes
Tom Clancy
Sinclair Lewis
Margaret Ayer Barnes
Margaret Ayer Barnes
Ian Fleming
Katharine Brush
Herman Wouk
Dean Koontz
Danielle Steel
J.K. Rowling
Mary GrandPre
J.K. Rowling
Mary GrandPre
J.K. Rowling
J.K. Rowling
Mary GrandPre
J.K. Rowling
Mary GrandPre
W. Frederick Zimmerman
J.K. Rowling
Douglas Adams
Douglas Adams
Douglas Adams
Douglas Adams
Stephen Fry
Douglas Adams
Bill Bryson
Bill Bryson
Bill Bryson
Bill Bryson
Bill Bryson
Bill Bryson
Bill Bryson
Bill Bryson
Bill Bryson
J.R.R. Tolkien
J.R.R. Tolkien
J.R.R. Tolkien
J.R.R. Tolkien
Alan  Lee
Chris   Smith
Christopher  Lee
Richard Taylor
Jude Fisher
Dave Thomas
David Heinemeier Hansson
Leon Breedt
Mike Clark
Thomas  Fuchs
Andreas  Schwarz
Gary Paulsen
Donna Ickes
Edward Sciranko
Keith Vasconcelles
Gary Paulsen
Molly Hatchet
Dale Peck
Angela Knight
Sahara Kelly
Judy Mays
Marteeka Karland
Kate Douglas
Shelby Morgen
Lacey Savage
Kate Hill
Willa Okati
Delia Sherman
Patricia A. McKillip
Zilpha Keatley Snyder
Kate Horsley
Philippa Carr
Edward P. Jones
Edward P. Jones
Kevin R. Free
Edward P. Jones
Satyajit Das
Mark Smylie
John McPhee
William Howarth
John McPhee
John McPhee
John McPhee
John McPhee
John McPhee
John McPhee
John McPhee
John McPhee
Wendy Wasserstein
Wendy Wasserstein
Heidi Hayes Jacobs
Heidi Boyd
Heidi Baker
Rolland Baker
Heidi Hayes Jacobs
Johanna Spyri
Beverly Cleary
Angelo  Rinaldi
Heidi Hayes Jacobs
Rolland Baker
Heidi Baker
Heidi Murkoff
Sharon Mazel
Arlene Eisenberg
Sandee Hathaway
Mark D. Widome
Heidi Fleiss
Libby Keatinge
Heidi Boyd
Frank Herbert
Frank Herbert
Frank Herbert
Brian Herbert
Frank Herbert
Frank Herbert
Brian Herbert
Kevin J. Anderson
Frank Herbert
Gary Russell
Bryce Courtenay
Bryce Courtenay
John C. Maxwell
Stephen R. Graves
Thomas G. Addington
Dave Lakhani
Louis E. Catron
Adam Ginsberg
Marsha Collier
Chris Malta
Lisa Suttora
Marsha Collier
Julia Wilkinson
Marsha Collier
Marsha Collier
Lucas Carlson
Leonard Richardson
Ruby Ann Boxcar
Ruby Ann Boxcar
Rob Orsini
Leo Tolstoy
Richard Pevear
Larissa Volokhonsky
Leo Tolstoy
David Magarshack
Priscilla Meyer
Leo Tolstoy
Richard Pevear
Larissa Volokhonsky
John Bayley
Marianne Sturman
Leo Tolstoy
Leo Tolstoy
Amy Mandelker
Constance Garnett
Leo Tolstoy
Louise Maude
Aylmer Maude
Leo Tolstoy
Constance Garnett
Amy Mandelker
Gloria Goldreich
Anthony Thorlby
Mulk Raj Anand
E.M. Forster
John Banville
Eliot Ness
Oscar Fraley
Narendra Jadhav
V.T. Rajshekar
Y.N. Kly
Vasant Moon
Gail Omvedt
Eleanor Zelliot
Barry R. Cournoyer
John Carratello
Patty Carratello
Theresa Wright
George Smoot
Keay Davidson
Madeleine L'Engle
Tara MacCarthy
Madeleine L'Engle
Cynthia Harrod-Eagles
Charles Todd
Ewan McGregor
Charley Boorman
Robert Uhlig
Daniel Abraham
Charles Willeford
James Lee Burke
Charles Willeford
Lawrence Block
Charles Willeford
Elmore Leonard
Charles Willeford
Tom Wolfe
Edward Lear
Laura Huliska-Beith
Edward Mendelson
Quentin Blake
Henry Miller
Thomas H. Moore
Henry Miller
Henry Miller
Jiri Nil
Henry Miller
Henry Miller
Henry Miller
Henry Miller
Henry James
Patricia Crick
Henry James
Gabriel Brownstein
Mary Cregan
Marguerite Duras
Marguerite Duras
Barbara Bray
Marguerite Duras
Richard Seever
Kahlil Gibran
Suheil Bushrui
Salma H. Al-Kuzbari
Jean Gibran
Kahlil Gibran
Kahlil Gibran
John Walbridge
Robin Waterfield
Kahlil Gibran
Kahlil Gibran
Anthony Rizcallah Ferris
Kahlil Gibran
Robert Louis Stevenson
Robert Louis Stevenson
Scott McKowen
Robert Louis Stevenson
Robert Louis Stevenson
N.C. Wyeth
Timothy Meis
Robert Louis Stevenson
Milo Winter
Deidre S. Laiken
A.J. McAllister
Robert Louis Stevenson
Ralph Ginzburg
Gabriel Garcia Marquez
Dr. Seuss
Debbie Raleigh
Kevin Henkes
Patrick Suskind
Robert A. Heinlein
Robert A. Heinlein
Robert A. Heinlein
Robert A. Heinlein
Robert A. Heinlein
Douglas Adams
Douglas Adams
Nick  Webb
Terry Jones
Douglas Adams
Christopher Cerf
Susan Nanus
Norton Juster
Harry G. Frankfurt
Nick Flynn
Garry Wills
Abraham Lincoln
Michael McCurdy
Don DeLillo
Don DeLillo
Don DeLillo
Don DeLillo
Don DeLillo
Don DeLillo
Don DeLillo
Thomas Pynchon
Thomas Pynchon
Thomas Pynchon
Thomas Pynchon
Thomas Pynchon
Christophe Claro
Brice Matthieussent
Thomas Pynchon
Thomas Pynchon
Thomas Pynchon
Richard Farina
Thomas Pynchon
Joan Didion
Joan Didion
Joan Didion
Joan Didion
Joan Didion
Joan Didion
Joan Didion
John Leonard
Joan Didion
David Thomson
Paul Auster
Art Spiegelman
Luc Sante
Paul Auster
Paul Auster
Paul Auster
Peter Moon
Preston B. Nichols
Nina Helms
Paul Auster
Paul Auster
Paul Auster
